cross_sec solid stranded flexible
# Conductors in cables for fixed installations EN 60228:2005
# Table C.1 - Maximum diameters of circular copper conductors
# C1 Cross sectional area mm2
# C2 Solid (Class 1) mm
# C3 Stranded (Class 2) mm
# C4 Flexible conductors (Classes 5 and 6) mm
0.5 0.9 1.1 1.1     
0.75 1.0 1.2 1.3
1.0 1.2 1.4 1.5
1.5 1.5 1.7 1.8
2.5 1.9 2.2 2.4
4 2.4 2.7 3.0
6 2.9 3.3 3.9
10 3.7 4.2 5.1
16 4.6 5.3 6.3
25 5.7 6.6 7.8
35 6.7 7.9 9.2
50 7.8 9.1 11.0
70 9.4 11.0 13.1
95 11.0 12.9 15.1
120 12.4 14.5 17.0
150 13.8 16.2 19.0
185 15.4 18.0 21.0
240 17.6 20.6 24.0
300 19.8 23.1 27.0
400 22.2 26.1 31.0
